,article
14,대표적 사례로는 증권선물위원회가 불공정거래자에게 과징금을 부과할 때 반드시 검찰과 협의해야 하는 규정을 들 수 있다. 황 연구위원은 “현행법상 과징금 부과를 허용한 218개 법률 중 검찰 협의를 요구하는 경우는 불공정거래와 가상자산 관련 법률 단 두 건뿐”이라며 “이 같은 구조가 사건 처리 지연으로 이어지고 있다”고 말했다.
15,"또 한국거래소의 업무 범위는 지나치게 넓은 반면, 금융감독원과 금융위원회는 검찰에 비해 조사 권한이 지나치게 부족하다는 점도 지적됐다."
16,"예를 들어 미국 증권거래위원회(SEC)는 당사자 신문, 통신자료 조회, 자산 동결 등 다양한 조사 권한을 보유하고 있지만, 한국 금감원은 이 같은 권한을 대부분 검찰에 의존해야 하는 실정이다."
17,"아울러 뉴욕거래소(NYSE)와 일본거래소(JPX) 등 주요국 거래소는 시장 감시와 회원 감리 업무에만 집중하는 반면, 한국거래소는 공매도 특별감리, 심리, 분쟁 조정까지 맡고 있다. 황 연구위원은 “시장 감시에 집중할 수 있도록 한국거래소에 인적·물적 지원을 추가해야 불공정거래 혐의를 더욱 신속히 포착할 수 있다”고 말했다."
18,토론회에 참석한 송수영 중앙대 교수는 자본시장 관련 기소권을 검찰이 아닌 금감원으로 이관해야 한다고 주장했다. 송 교수는 “경제학적 관점에서 불공정거래는 정보 비대칭을 심화시켜 개인투자자를 단기 투자로 내몬다”며 “이를 해결하려면 특별사법경찰과 금감원의 권한을 대폭 강화해야 한다”고 말했다. 이와 관련해 한국거래소는 지난해부터 불공정거래로 얻은 부당 이득의 최대 2배까지 과징금을 부과하기로 했다.
19,"박종석 한국거래소 상무는 “불공정 세력을 조기에 적발하고, 계좌 지급 정지와 과징금 부과를 통해 부당 이득보다 행정제재가 더 크도록 하고 있다”며 “불공정거래에 나서면 큰 대가를 치른다는 인식이 시장에 자리 잡도록 하겠다”고 말했다."
20,토론회를 진행한 남길남 자본시장연구원 선임연구위원도 “자본시장에서 불공정거래를 근절하려면 형량 강화뿐 아니라 신속한 제재가 병행돼야 한다”고 강조했다.
21,"정부는 인공지능(AI)과 재생에너지 산업에 예산을 대거 투입하기로 했다. 에너지 관련 예산 대부분은 신재생에너지 보급과 금융 지원 사업에 집중됐고, 원전 관련 예산은 반영되지 않았다. 새 정부 출범 이후 에너지 정책의 무게추가 재생에너지 쪽으로 옮겨가고 있는 장면이다."
22,산업통상자원부는 “경기 회복과 미래 먹거리 산업에 대한 투자를 뒷받침하기 위해 총 4956억원 규모 추가경정예산안을 마련했다”며 “국무회의를 거쳐 확정된 후 국회에 제출할 예정”이라고 19일 밝혔다.
23,"정부가 마련한 추경안에는 재생에너지 관련 예산 1118억원이 포함됐다. 이 가운데 재생에너지 보급 사업에 118억원, 금융 지원 사업에 1000억원이 편성됐다. 증액된 예산은 주택·건물의 태양광 보급 확대와 태양광 생산·시설 자금에 대한 융자 지원에 사용될 예정이다."
24,"정부는 차세대태양전지 실증사업 연구개발(R&D) 예산을 10억원 늘렸고, 한국에너지공과대 지원 예산도 올해 본예산 대비 100억원 증액했다. 반면 원자력 관련 지원 예산은 편성되지 않았다."
25,에너지 업계는 새 정부의 에너지 예산 방향 변화에 주목하고 있다. 윤석열 정부는 원전 관련 예산을 꾸준히 확대한 반면 재생에너지 관련 예산은 축소해왔다. 산업부의 전력산업기반기금 중 ‘재생에너지 지원’ 항목 예산은 지난해 6196억원에서 올해 5715억원으로 줄었다. 반면 원자력 지원 예산은 같은 기간 1172억원에서 1669억원으로 497억원 증가했다.
26,"새 정부는 AI 산업 생태계 조성에도 속도를 내고 있다. 이번 2차 추경을 통해 산업용 AI 솔루션 실증·확산 지원 사업에 128억원, AI·로봇 기반 의약품 자율제조 시스템 개발에 22억원을 신규 편성했다. 이재명 대통령이 ‘AI 100조 투자’ 공약을 발표하고, 대통령실에 AI미래기획수석을 신설한 점 등을 감안하면, 새 정부 산업 정책의 중심 축이 AI 육성에 있다는 분석이 나온다."
27,연체율 상승에 비상이 걸린 카드사들이 공격적으로 부실채권 정리에 나서고 있다. 올해 1분기에만 벌써 1조원 가까이 매각했지만 연체율 상승세는 꺾이지 않고 있다. 부실채권을 많이 떨어내는 카드사 연체율이 더 빠르게 높아지는 이례적인 상황도 나타나고 있다. 채권을 처리하는 속도에 비해 연체율이 더 가파른 속도로 높아지고 있어서다.
28,19일 국회 정무위원회 소속 이정문 더불어민주당 의원실이 금융감독원에서 받은 자료에 따르면 8개 전업 카드사(신한·삼성·현대·KB국민·롯데·하나·우리·BC카드)가 올해 1분기에 매각한 부실채권 규모는 9505억원으로 집계됐다. 이는 전년 동기에 기록한 6915억원보다 약 38% 늘어난 수치다. 2021년(7749억원)과 2022년(6705억원)의 연간 매각액을 넘어서는 수준이다.
29,"카드사별로 살펴보면 롯데카드가 지난 1분기에 2798억원의 부실채권을 정리해 규모가 가장 컸다. 이는 전년 동기(1111억원) 대비 2배가 넘는다. 그 뒤를 이은 건 KB국민카드(2295억원)로 지난해 1분기 매각액(135억원)의 약 17배 규모를 정리하며 가장 큰 증가세를 보였다. 하나카드도 같은 기간 매각액이 69억원에서 926억원으로 크게 늘었다. 이외에 우리카드(1293억원), 신한카드(1095억원), 현대카드(676억원), 삼성카드(392억원), BC카드(30억원) 순으로 부실채권을 많이 매각했다."
30,카드사들이 정리하고 있는 부실채권은 매년 늘어나는 추세다. 그 규모가 1분기 기준 2022년까지 2000억원대였으나 이후 매년 가파르게 상승하고 있다. 특히 올해의 경우 현 추세대로라면 매각 규모가 지난해(3조3799억원) 수준을 넘길 것으로 보고 있다. 지난해에는 2023년(2조2374억원) 대비 51% 불어난 바 있다.
31,"카드사들이 부실채권 매각에 적극 나서는 데에는 고공비행 중인 연체율이 영향을 미쳤다. 서민의 대출 창구인 저축은행과 대부업 등이 영업을 줄이면서 카드론으로 중·저신용자 수요가 몰렸고, 가맹점 수수료 인하로 수익성이 악화한 카드사들이 카드론을 적극 취급했다. 하지만 저금리 시기를 지난 상황에서 경기 부진까지 장기화하면서 돈을 갚지 못하는 차주가 증가하자 연체율이 꾸준히 오르고 있다."
32,카드사들은 부실채권 매각을 통한 자산 건전성 관리에 나섰지만 연체율 상승세를 막지 못하고 있다. 최근 대선 정국에서 채무 탕감에 대한 공약이 나오면서 납부를 미루는 사람들이 늘면서 2분기에는 연체율이 더 오를 것이란 우울한 전망까지 나온다.
33,금융권에 따르면 각 카드사의 실질 연체율(대환대출 채권을 포함한 1개월 이상 연체율) 단순평균은 1분기 기준으로 2021년만 하더라도 1%대 초반이던 것이 올해는 1.93%로 올라섰다. 부실채권을 많이 매각했던 KB국민·하나·우리·BC카드는 이미 실질 연체율이 2%를 넘겼다.
34,"다만 절대 매각량이 늘면서 대출채권 매매이익은 증가하고 있다. 작년에는 6320억원으로 전년(5848억원) 대비 8% 증가했으나, 코로나19 전인 2021년(2230억원)에 비해서는 183% 늘었다."
35,카드사 관계자는 “카드론 취급을 늘린 상황에서 경기가 나쁘다 보니 연체하는 부실 차주 비율이 빠른 속도로 늘어나고 있다”고 설명했다. 이어 “경기 상황에 큰 변화가 있지 않는 한 연체율 증가 추세가 이어져 하반기에도 부실채권 매각 규모는 계속 늘어날 것으로 보인다”고 설명했다.
36,새 정부가 다양한 정책들을 추진하기 위한 검토 단계에 들어갔어요. 특히 이재명 대통령의 주요 공약들은 벌써부터 본격적인 준비에 착수했다고 해요. 대표적인 게 자영업자와 소상공인 등 취약계층의 빚을 탕감해 주거나 줄여주는 ‘배드뱅크(Bad bank)’ 설립이에요.
37,"배드뱅크 설립은 이 대통령이 선거 운동 내내 강조한 핵심 공약이었어요. 쉽게 말하면 사정이 어려워 빚을 갚기 힘든 자영업자들의 빚을 확 줄여주는 정책이에요. 코로나19 대유행을 거치며 많은 자영업자들이 큰 어려움을 겪었고, 이때부터 사실상 재기 불능에 빠진 이들을 정부가 지원한다는 게 이 정책의 취지예요."
38,"자본시장 신뢰를 훼손하는 불공정거래를 막기 위해서는 신속한 조사와 처벌이 필요하며, 이를 위해 부처 간 중복 기능을 정비해야 한다는 지적이 나왔다."
39,"황현영 자본시장연구원 연구위원은 19일 매경미디어그룹 주최 ‘2025 매경 자본시장 대토론회’에서 금융감독원, 한국거래소, 금융위원회 등 여러 기관의 역할 중복으로 인한 비효율을 해소해야 한다고 강조했다."
40,불공정거래를 조사하고 처벌하는 과정에서 검찰에 과도한 권한이 집중돼 전문성을 가진 증권 유관기관이 온전한 역할을 발휘하지 못한다는 것이다.
41,대표적 사례로는 증권선물위원회가 불공정거래자에게 과징금을 부과할 때 반드시 검찰과 협의해야 하는 규정을 들 수 있다. 황 연구위원은 “현행법상 과징금 부과를 허용한 218개 법률 중 검찰 협의를 요구하는 경우는 불공정거래와 가상자산 관련 법률 단 두 건뿐”이라며 “이 같은 구조가 사건 처리 지연으로 이어지고 있다”고 말했다.
42,"또 한국거래소의 업무 범위는 지나치게 넓은 반면, 금융감독원과 금융위원회는 검찰에 비해 조사 권한이 지나치게 부족하다는 점도 지적됐다."
43,"예를 들어 미국 증권거래위원회(SEC)는 당사자 신문, 통신자료 조회, 자산 동결 등 다양한 조사 권한을 보유하고 있지만, 한국 금감원은 이 같은 권한을 대부분 검찰에 의존해야 하는 실정이다."
44,"아울러 뉴욕거래소(NYSE)와 일본거래소(JPX) 등 주요국 거래소는 시장 감시와 회원 감리 업무에만 집중하는 반면, 한국거래소는 공매도 특별감리, 심리, 분쟁 조정까지 맡고 있다. 황 연구위원은 “시장 감시에 집중할 수 있도록 한국거래소에 인적·물적 지원을 추가해야 불공정거래 혐의를 더욱 신속히 포착할 수 있다”고 말했다."
45,토론회에 참석한 송수영 중앙대 교수는 자본시장 관련 기소권을 검찰이 아닌 금감원으로 이관해야 한다고 주장했다. 송 교수는 “경제학적 관점에서 불공정거래는 정보 비대칭을 심화시켜 개인투자자를 단기 투자로 내몬다”며 “이를 해결하려면 특별사법경찰과 금감원의 권한을 대폭 강화해야 한다”고 말했다. 이와 관련해 한국거래소는 지난해부터 불공정거래로 얻은 부당 이득의 최대 2배까지 과징금을 부과하기로 했다.
46,"박종석 한국거래소 상무는 “불공정 세력을 조기에 적발하고, 계좌 지급 정지와 과징금 부과를 통해 부당 이득보다 행정제재가 더 크도록 하고 있다”며 “불공정거래에 나서면 큰 대가를 치른다는 인식이 시장에 자리 잡도록 하겠다”고 말했다."
47,토론회를 진행한 남길남 자본시장연구원 선임연구위원도 “자본시장에서 불공정거래를 근절하려면 형량 강화뿐 아니라 신속한 제재가 병행돼야 한다”고 강조했다.
48,"정부는 인공지능(AI)과 재생에너지 산업에 예산을 대거 투입하기로 했다. 에너지 관련 예산 대부분은 신재생에너지 보급과 금융 지원 사업에 집중됐고, 원전 관련 예산은 반영되지 않았다. 새 정부 출범 이후 에너지 정책의 무게추가 재생에너지 쪽으로 옮겨가고 있는 장면이다."
49,산업통상자원부는 “경기 회복과 미래 먹거리 산업에 대한 투자를 뒷받침하기 위해 총 4956억원 규모 추가경정예산안을 마련했다”며 “국무회의를 거쳐 확정된 후 국회에 제출할 예정”이라고 19일 밝혔다.
50,"정부가 마련한 추경안에는 재생에너지 관련 예산 1118억원이 포함됐다. 이 가운데 재생에너지 보급 사업에 118억원, 금융 지원 사업에 1000억원이 편성됐다. 증액된 예산은 주택·건물의 태양광 보급 확대와 태양광 생산·시설 자금에 대한 융자 지원에 사용될 예정이다."
51,"정부는 차세대태양전지 실증사업 연구개발(R&D) 예산을 10억원 늘렸고, 한국에너지공과대 지원 예산도 올해 본예산 대비 100억원 증액했다. 반면 원자력 관련 지원 예산은 편성되지 않았다."
52,에너지 업계는 새 정부의 에너지 예산 방향 변화에 주목하고 있다. 윤석열 정부는 원전 관련 예산을 꾸준히 확대한 반면 재생에너지 관련 예산은 축소해왔다. 산업부의 전력산업기반기금 중 ‘재생에너지 지원’ 항목 예산은 지난해 6196억원에서 올해 5715억원으로 줄었다. 반면 원자력 지원 예산은 같은 기간 1172억원에서 1669억원으로 497억원 증가했다.
53,"새 정부는 AI 산업 생태계 조성에도 속도를 내고 있다. 이번 2차 추경을 통해 산업용 AI 솔루션 실증·확산 지원 사업에 128억원, AI·로봇 기반 의약품 자율제조 시스템 개발에 22억원을 신규 편성했다. 이재명 대통령이 ‘AI 100조 투자’ 공약을 발표하고, 대통령실에 AI미래기획수석을 신설한 점 등을 감안하면, 새 정부 산업 정책의 중심 축이 AI 육성에 있다는 분석이 나온다."
54,새 정부의 추가경정예산 편성으로 경기 침체의 급한 불은 끌 수 있겠지만 내수 부진에 따른 세입 감소가 맞물리며 재정건전성 악화는 불가피해졌다.
55,"19일 국무회의에서 새 정부 추경안이 통과하며 올해 정부의 총지출 예산은 702조원에 달한다. 중앙정부 지출은 2011년 처음 300조원을 돌파한 후 2017년 400조원을 넘었고, 코로나19 대응 과정에서 2020년과 2022년 각각 500조원, 600조원을 차례로 넘어섰다. 올해 총지출 증가율은 6.9%로, 지난해(2.8%)보다 크게 뛰며 2022년(8.9%) 이후 최대치를 기록했다."
56,"이번 지출 증가는 상반기 두 차례 추경에 기인한다. 본예산 기준 올해 총지출은 673조3000억원이었으나 수출·내수 동반 부진과 경북 산불 등 대응을 위한 1차 추경, 민생 안정을 위한 2차 추경이 이어지며 규모가 커졌다."
57,반면 수입은 줄었다. 기획재정부는 세입경정을 통해 올해 정부 총수입을 당초 651조6000억원(본예산)에서 642조4000억원으로 10조원가량 하향 조정했다. 경기 부진에 따른 법인세·부가가치세 감소와 내수 진작을 위한 세제 지원 확대가 주원인이다.
58,"수입 감소와 지출 확대를 충당하기 위해 정부는 적자국채를 추가 발행한다. 이번에 발행되는 국고채 규모는 19조8000억원으로, 올해 총 국채 발행액은 본예산 기준 197조6000억원에서 226조9000억원으로 늘었다. 반년 만에 30조원 가까이 국채 공급이 늘어나면서 시장 부담에 대한 우려가 크다. 국내총생산(GDP) 대비 국가채무비율은 49%로 본예산보다 0.9%포인트 올라 50%를 코앞에 두고 있다."
59,"재원을 마련하기 위해 정부는 본예산에 담긴 사업 예산 중 5조3000억원을 삭감하는 ‘지출 구조조정’을 병행한다. 지방교부금 2조원을 포함해 국가장학금(약 4000억원), 전기차 보급 사업(약 5300억원), 유엔 분담금, 가덕도신공항 건설비 등이 감액됐다. 이와 함께 각종 기금의 가용 재원과 외국환평형기금 조정 등을 통해 5조5000억원을 추가 확보했다. 유병서 기재부 예산실장은 “올해 집행이 부진할 것으로 예상돼 불용이 확실한 부분에 한해 구조조정에 들어갔다”고 설명했다."
60,"김정식 연세대 경제학부 명예교수는 “의무 지출 개혁과 사회복지 중복 지출을 정비하는 지출 효율화가 필요하고, 재정 사업에 대한 성과평가가 더욱 정교하게 이뤄져야 한다”고 말했다."
61,도널드 트럼프 미국 대통령은 이란에 대한 군사공격에 나설지 여부를 향후 2주 안에 결정할 것이라고 백악관이 19일(현지시간) 밝혔다.
62,"트럼프 대통령은 “가까운 미래에 일어날 수도, 일어나지 않을 수도 있지만 이란과의 협상 가능성이 상당(substantial)하다는 사실에 근거해 나는 앞으로 2주 안에 갈지 말지(공격에 나설지 여부)를 결정할 것”이라고 말했다고 캐롤라인 레빗 백악관 대변인이 이날 브리핑에서 소개했다."
63,트럼프 대통령의 이같은 언급은 이란에 핵포기 결단을 하는 최종 시한을 설정한 것으로 풀이된다.
64,이란이 미국과의 핵 협상 재개에 관심을 보이고 있다는 정황이 곳곳에서 포착되고 있는 상황에서 일단 2주라는 ‘외교의 시간’을 설정한 것으로 풀이된다. 트럼프 대통령은 미국이 직접 대이란 공격에 개입하는 리스크를 감내하지 않고도 문제를 해결하는 것이 최선이라는 판단이다.
65,트럼프 대통령은 이란 핵프로그램 파괴를 위한 이스라엘의 공격을 지지하 중동 전쟁에 미군이 장기간 말려들 가능성을 우려하는 지지층 내부의 견해 등을 감안해 이란에 대한 이스라엘의 공격을 직접 지원하는 것에는 신중한 입장을 유지하고 있다.
66,다만 현재 이란과 이스라엘 간에 교전이 점점 격화하는 상황에서 트럼프 대통령이 설정한 2주 시한 안에 전황에 중대한 변화가 발생할 경우 트럼프 대통령이 군사 개입을 조기에 결정할 가능성도 배제할 수 없다는 의견도 있다.
67,
68,영국에서 20대 중국인 대학원생이 여성 10명에게 약물을 먹이고 성폭행한 혐의로 최소 복역 기간 24년의 무기징역을 선고받았다.
69,로이터통신에 따르면 영국 이너런던 형사법원은 19일(현지시간) 쩌우전하오(28)가 2019∼2023년 영국과 중국에서 온라인이나 데이트 앱을 통해 만난 여성들을 성폭행하고 이를 영상 촬영한 혐의 등 총 28건의 범행을 유죄로 인정하고 이 같은 형량을 선고했다.
70,이에따라 쩌우는 이미 교도소에서 복역한 기간을 빼고 2048년 이후에야 가석방 자격을 얻게 된다.
71,그는 공부를 하자거나 음료를 마시자며 피해 여성들을 자택으로 유인해 약물을 먹여 정신을 잃게 한 뒤 성폭행한 것으로 드러났다. 이 모습을 영상으로 촬영해 소지하기까지 했다.
72,"로지나 코티지 판사는 “피고인은 다른 사람들을 조종하는 데 능하고 영리한 청년으로, 여성들의 바람이나 감정은 전혀 생각하지 않았다”며 “피해자들을 마치 성적 장난감처럼 여겼다”고 꾸짖었다."
73,쩌우는 2017년 북아일랜드에서 유학했고 2019년 런던에서 석·박사 과정을 시작한 것으로 전해졌다. 피해 여성 1명의 신고를 받고 수사에 나선 런던 경찰은 그의 자택에서 약물과 숨겨진 카메라를 찾아냈다. 컴퓨터와 휴대전화에서는 범행 증거 영상 수백 건과 메시지 수백만 건이 발견됐다.
74,경찰은 피해 여성이 50명을 넘을 것으로 추정하나 신원을 모두 파악하지는 못했다. 경찰은 추가 증거를 모으고 있으며 이를 이번 선고 공판 이후 검찰에 제출할 예정이라고 밝혔다.
75,미국 국방부가 한국을 포함한 아시아의 동맹국들도 국내총생산(GDP)의 5% 수준으로 국방비를 지출해야 한다는 새 기준을 제시했다.
76,"미국 국방부의 션 파넬 대변인은 19일(현지시간) 연합뉴스의 질의에 답변으로 보내온 성명에서 “피트 헤그세스 국방장관이 18일(상원 군사위원회 청문회)과 샹그릴라 대화(아시아안보대화)에서 말했듯이, 우리의 유럽 동맹들이 우리의 동맹, 특히 아시아 동맹을 위한 글로벌 기준을 설정하고 있다”며 “그것은 GDP의 5%를 국방에 지출하는 것”이라고 밝혔다."
77,미 국방부 당국자에 따르면 미국이 국방비 지출 증액을 요구하는 아시아 동맹국에는 한국도 포함된다.
78,"현재 미국은 북대서양조약기구(NATO·나토) 회원국들에 GDP의 5% 수준 국방비 지출을 새로운 가이드라인으로 요구하고 있는데, 이를 한국과 일본 등 아시아 동맹국에도 동일하게 요구하겠다는 입장을 밝힌 것이다."
79,"한국은 작년 기준으로 GDP의 2.8% 수준인 약 66조원의 국방비를 지출했는데, 이를 GDP의 5% 수준까지 늘리라는 것이 트럼프 행정부의 새로운 요구가 될 것으로 보인다."
80,파넬 대변인은 “중국의 막대한 군사력 증강과 북한의 지속적인 핵 및 미사일 개발을 고려할 때 아시아·태평양 동맹국들이 유럽의 방위비 지출 속도와 수준에 맞추기 위해 발 빠르게 움직이는 것은 상식”이라고 밝혔다.
81,그는 또 미국이 새롭게 요구하는 국방지출 증액이 “아시아 태평양 동맹국들의 안보 이익에 부합”한다고 주장했다.
82,파넬 대변인은 이어 “아시아 동맹국들과 더 균형 있고 공정한 동맹 비용 분담을 하는 것은 미국 국민의 이익에 부합”하기에 “상식적”이라고 밝힌 뒤 “상식은 (도널드) 트럼프 대통령의 접근 방식 그 자체”라고 덧붙였다.
83,도널드 트럼프 미국 대통령은 이란에 대한 군사공격에 나설지 여부를 향후 2주 안에 결정할 것이라고 백악관이 19일(현지시간) 밝혔다.
84,"트럼프 대통령은 “가까운 미래에 일어날 수도, 일어나지 않을 수도 있지만 이란과의 협상 가능성이 상당(substantial)하다는 사실에 근거해 나는 앞으로 2주 안에 갈지 말지(공격에 나설지 여부)를 결정할 것”이라고 말했다고 캐롤라인 레빗 백악관 대변인이 이날 브리핑에서 소개했다."
85,트럼프 대통령의 이같은 언급은 이란에 핵포기 결단을 하는 최종 시한을 설정한 것으로 풀이된다.
86,이란이 미국과의 핵 협상 재개에 관심을 보이고 있다는 정황이 곳곳에서 포착되고 있는 상황에서 일단 2주라는 ‘외교의 시간’을 설정한 것으로 풀이된다. 트럼프 대통령은 미국이 직접 대이란 공격에 개입하는 리스크를 감내하지 않고도 문제를 해결하는 것이 최선이라는 판단이다.
87,트럼프 대통령은 이란 핵프로그램 파괴를 위한 이스라엘의 공격을 지지하 중동 전쟁에 미군이 장기간 말려들 가능성을 우려하는 지지층 내부의 견해 등을 감안해 이란에 대한 이스라엘의 공격을 직접 지원하는 것에는 신중한 입장을 유지하고 있다.
88,다만 현재 이란과 이스라엘 간에 교전이 점점 격화하는 상황에서 트럼프 대통령이 설정한 2주 시한 안에 전황에 중대한 변화가 발생할 경우 트럼프 대통령이 군사 개입을 조기에 결정할 가능성도 배제할 수 없다는 의견도 있다.
89,미국 중앙은행인 연방준비제도(Fed·연준)가 18일(현지시간) 올해 기준금리를 두 차례 인하하겠다는 종전 계획을 유지하며 예상대로 동결했다. 그러나 경제성장률 전망치를 이전보다 낮추는 등 스태그플레이션(고물가 속 경기 침체)에 대한 경계심을 선명하게 드러냈다.
90,연준은 이날 연방공개시장위원회(FOMC) 정례회의 결과 기준금리를 기존 4.25~4.50%로 동결하기로 만장일치로 결정했다. 지난 1·3·5월에 이어 연속 네 번째 동결이다. 한국(2.5%)과 기준금리 차이는 상단 기준 2%포인트로 유지됐다.
91,제롬 파월 연준 의장은 “통화정책 조정을 검토하기에 앞서 경제의 향후 전개 과정에 대해 더 많이 파악할 때까지 기다릴 수 있는 좋은 위치에 있다”고 동결 배경을 설명했다. 도널드 트럼프 행정부의 관세 불확실성이 명확해질 때까지 관망하겠다는 기존 입장을 재차 확인한 것이다.
92,연준은 이날 경제전망(SEP)을 통해 올해 연말 기준금리 전망을 3.9%로 내다봤다. 현재 기준금리가 4.25~4.5%임을 감안하면 올해 0.25%포인트씩 두 차례 인하한다는 뜻이다. 이는 지난 3월 전망과 일치한다.
93,다만 이날 공개된 점도표에 따르면 연준 내 기준금리 경로를 두고 의견 차이가 큰 것으로 나타났다. 19명의 위원 중 가장 많은 8명이 연말까지 두 차례 인하를 전망한 반면 7명은 동결을 예상했기 때문이다.
94,이에 대해 파월 의장은 “참석한 위원이 각자 가장 가능성이 높다고 판단하는 향후 시나리오에 기초해 기준금리의 적절한 경로에 대한 개별 평가를 기록한 것”이라고 설명하면서 “누구도 금리 경로에 큰 확신을 가지고 있지 않다”고 설명했다.
95,연준은 내년과 후년에 기준금리를 각각 0.25%포인트씩 한 차례 인하할 것으로 전망했다. 지난 3월 두 차례씩 인하 전망에서 후퇴한 것이다. 트럼프 행정부 관세발 불확실성으로 인한 인플레이션 압력을 고려한 것이라는 분석이다.
96,파월 의장은 “올해 관세 인상은 가격을 상승시키고 경제활동에 부담을 줄 가능성이 높다”고 밝혔다. 실제 연준은 SEP에서 올해 말 개인소비지출(PCE)이 전년 동기 대비 3% 증가할 것으로 전망했다. 이는 지난 3월 전망치(2.7%)보다 0.3%포인트 오른 수치다.
